"Taxon","Region","MinAge","MaxAge","Locality"
"Zygolophodon turicensis","Europe",14.2,16.4,"Pontigné MN5_siteSet_1"
"Gomphotherium angustidens","Europe",14.2,16.4,"Pontlevoy_siteSet_1"
"Zygolophodon turicensis","Europe",14.2,16.4,"Pontlevoy_siteSet_1"
"Gomphotherium angustidens","Europe",14.2,16.4,"Poudenas-Peyrecrechen_siteSet_1"
"Zygolophodon turicensis","Europe",14.2,16.4,"Poudenas-Peyrecrechen_siteSet_1"
"Gomphotherium angustidens","Europe",14.2,16.4,"Puente de Toledo_siteSet_1"
"Gomphotherium angustidens","Europe",14.2,16.4,"Puente de Vallecas_siteSet_2"
"Zygolophodon turicensis","Europe",14.2,16.4,"Réaup_siteSet_1"
"Gomphotherium angustidens","Europe",14.2,16.4,"Rimbez - Lapeyrie base_siteSet_1"
"Gomphotherium angustidens","Europe",14.2,16.4,"Rothenstein 1_siteSet_1"
"Gomphotherium angustidens","Europe",14.2,16.4,"San Isidro_siteSet_1"
"Gomphotherium angustidens","Europe",14.2,16.4,"Savigné-sur-Lathan MN5_siteSet_1"
"Zygolophodon turicensis","Europe",14.2,16.4,"Savigné-sur-Lathan MN5_siteSet_1"
"Gomphotherium angustidens","Europe",14.2,16.4,"Somosaguas Norte_siteSet_1"
"Gomphotherium angustidens","Europe",14.2,16.4,"Tarazona_siteSet_1"
"Choerolophodon chioticus","Europe",14.2,16.4,"Thymiana B_siteSet_1"
"Zygolophodon turicensis","Europe",14.2,16.4,"Vermes 2_siteSet_1"
"Gomphotherium subtapiroideum","Europe",14.2,16.4,"Vordersdorf b.Eibiswald_siteSet_1"
"Gomphotherium angustidens","Europe",14.2,16.4,"Yuncos_siteSet_1"
"Prodeinotherium hobleyi","Africa",14.2,16.4,"Arrisdrift_siteSet_1"
"Gomphotherium angustidens","Europe",14.8,16.4,"Archeman-Ali_siteSet_1"
"Platybelodon grangeri","Asia",14.8,16.4,"Bel'karasu_siteSet_1"
"Miomastodon proavus","North America",14.8,16,"Northern Great Basin NB18A_siteSet_1"
"Stegolophodon nasaiensis","Asia",11.63,15.97,"Ban Na Sai_siteSet_1"
"Protanancus macinnesi","Africa",13.82,15.97,"Kaloma_siteSet_1"
"Afrochoerodon kisumuensis","Africa",13.82,15.97,"Kipsaramon 2_siteSet_1"
"Afrochoerodon kisumuensis","Africa",13.82,15.97,"Majiwa_siteSet_1"
"Protanancus macinnesi","Africa",13.82,15.97,"Majiwa_siteSet_1"
"Choerolophodon ngorora","Africa",13.82,15.97,"Mbagathi_siteSet_1"
"Protanancus macinnesi","Africa",13.82,15.97,"Ombo_siteSet_1"
"Prodeinotherium hobleyi","Africa",13.82,15.97,"Kaloma_siteSet_1"
"Prodeinotherium hobleyi","Africa",13.82,15.97,"Kipsaramon 2_siteSet_1"
