Taxon	Status	MinAge	MaxAge	Site
Gomphotherium_productum	extinct	13.6	15.97	272
Gomphotherium_productum	extinct	13.6	15.97	285
Gomphotherium_productum	extinct	13.6	15.97	312
Gomphotherium_productum	extinct	13.6	15.97	457
Gomphotherium_productum	extinct	13.82	15.97	508
Gomphotherium_productum	extinct	13.6	15.97	572
Gomphotherium_productum	extinct	13.6	15.97	604
Gomphotherium_productum	extinct	13.6	15.97	663
Gomphotherium_productum	extinct	13.6	15.97	1004
Gomphotherium_productum	extinct	13.6	15.97	1038
Gomphotherium_productum	extinct	13.6	15.97	1196
Gomphotherium_productum	extinct	13.6	15.97	1307
Gomphotherium_productum	extinct	13.6	15.97	1426
Gomphotherium_productum	extinct	13.6	15.97	1459
Gomphotherium_productum	extinct	13.6	15.97	1460
Gomphotherium_productum	extinct	13.6	15.97	1552
Deinotherium_indicum	extinct	11.6	15.9	1120
Protanancus_macinnesi	extinct	15.5	15.5	720
Afrochoerodon_kisumuensis	extinct	15.5	15.5	717
Afrochoerodon_kisumuensis	extinct	14.7	15.2	883
Gomphotherium_angustidens	extinct	12.5	15.2	503
Gomphotherium_connexum	extinct	11.2	15.2	610
Gomphotherium_wimani	extinct	11.2	15.2	610
Gomphotherium_connexum	extinct	12.5	15.2	666
Miomastodon_gobiensis	extinct	12.5	15.2	1485
Platybelodon_tongxinensis	extinct	12.5	15.2	1485
Platybelodon_tongxinensis	extinct	12.5	15.2	1486
Platybelodon_tongxinensis	extinct	12.5	15.2	1487
Platybelodon_grangeri	extinct	11.2	15.2	1658
Platybelodon_tongxinensis	extinct	13.5	15	1484
Protanancus_macinnesi	extinct	15	15	1054
Protanancus_macinnesi	extinct	15	15	1056
Protanancus_macinnesi	extinct	15	15	1057
Protanancus_macinnesi	extinct	15	15	1058
Protanancus_macinnesi	extinct	15	15	1059
Protanancus_macinnesi	extinct	15	15	1061
Protanancus_macinnesi	extinct	15	15	1062
Protanancus_macinnesi	extinct	15	15	1063
Protanancus_macinnesi	extinct	15	15	1064
Prodeinotherium_hobleyi	extinct	15	15	1052
Prodeinotherium_hobleyi	extinct	15	15	1053
Prodeinotherium_hobleyi	extinct	15	15	1054
Prodeinotherium_hobleyi	extinct	15	15	1056
Prodeinotherium_hobleyi	extinct	15	15	1057
Prodeinotherium_hobleyi	extinct	15	15	1059
Prodeinotherium_hobleyi	extinct	15	15	1060
Prodeinotherium_hobleyi	extinct	15	15	1061
Prodeinotherium_hobleyi	extinct	15	15	1064
Protanancus_brevirostris	extinct	13.5	15	351
Aphanobelodon_zhaoi	extinct	13.5	15	888
Choerolophodon_guangheensis	extinct	13.5	15	351
Protanancus_tobieni	extinct	13.5	15	1484
Eubelodon_morrilli	extinct	12.5	14.8	242
Miomastodon_proavus	extinct	12.5	14.8	258
Eubelodon_morrilli	extinct	12.5	14.8	260
Miomastodon_proavus	extinct	12.5	14.8	1043
Megabelodon_joraki	extinct	12.5	14.8	1401
Gomphotherium_angustidens	extinct	12.85	14.2	35
Gomphotherium_angustidens	extinct	12.85	14.2	48
Archaeobelodon_filholi	extinct	12.85	14.2	232
Gomphotherium_angustidens	extinct	12.85	14.2	232
Miomastodon_proavus	extinct	11.2	14.2	234
Zygolophodon_turicensis	extinct	12.85	14.2	367
Zygolophodon_turicensis	extinct	12.85	14.2	368
Deinotherium_giganteum	extinct	11.2	14.2	369
Zygolophodon_turicensis	extinct	11.2	14.2	369
Protanancus_macinnesi	extinct	12.85	14.2	884
Zygolophodon_turicensis	extinct	12.85	14.2	420
Gomphotherium_angustidens	extinct	12.85	14.2	569
